data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2020-06-20;03:38:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;AV CONDE DA BOA VISTA;;;EM FRENTE AO SHOPPING BOA VISTA;BOA VISTA;;SUBURBIO;CHOQUE;VIATURA DA PM SE CHOCOU CONTRA UM GELO BAIANO;1;;;;;;;;;0;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Outros;Outras;N/I;Dupla;Canteiro central;;
2020-06-20;12:09:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV CRUZ CABUGA;1167;AV DR JAYME DA FONTE;EM FRENTE AO N 1189;SANTO AMARO;343;CIDADE;ABALROAMENTO TRANSVERSAL;COLISÃO COM VITIMA;;2;;;;;;;;2;;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;Dupla;Faixa seccionada;;
2020-06-20;13:26:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;508;;EM FRENTE AO SHOPPING PLAZA;CASA FORTE;;CIDADE;COLISÃO;COLISÃO SEM VITIMA;2;1;;;;;;;;0;;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;N/I;Dupla;Faixa contínua;;
2020-06-20;14:58:00;SEM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;487;;EM FRENTE AO N 487;CASA FORTE;;CIDADE;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Outras;N/I;Dupla;Faixa contínua;;
2020-06-20;16:29:00;SEM VÍTIMA;CANCELADA;BOA VIAGEM;RUA PROFESSOR JOSE BRANDAO;390;RUA FRANCISCO DA CUNHA;EM FRENTE AO N 390;BOA VIAGEM;;SUBURBIO;COLISÃO;COLISÃO SEM VITIMA;1;1;;;;;;;;0;;;;;;;;;;;;;;
2020-06-20;19:51:00;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;2274;;LADO OPOSTO A FERREIRA COSTA.;IMBIRIBEIRA;;SUBURBIO;ABALROAMENTO LONGITUDINAL;COLISÃO ENTRE TRÊS AUTOS E UMA MOTO.;3;1;;;;;;;;3;;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;;R-6a;40 km/h;Dupla;Canteiro central;;
2020-06-21;07:24:00;SEM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE;;;LADO OPSTO A ANTIGA FÁBRICA DA MACAXEIRA;MACAXEIRA;;;CHOQUE OBJETO FIXO;VEÍCULO: PDR 0343 : CHEVROLET ONIX;1;;;;;;;;;0;;;;;;;;;;;;;;
2020-06-21;12:22:00;COM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;;RUA AURORA CACOTE;EM FRENTE AO HOSPITAL DE AREIAS. CHURRASCARIA E PIZZARIA GALETUS.;AREIAS;;BOA VIAGEM;ABALROAMENTO TRANSVERSAL;AUTO E MOTO.;1;;1;;;;;;;1;;Esquina;Bom;Não existe;Perfeito estado;Seca;Mal conservada;Não existe;Placas Pare;60 km/h;Dupla;Canteiro central;;
2020-06-21;16:39:00;COM VÍTIMA;FINALIZADA;SÍTIO DOS PINTOS;EST DOS PINTOS;20;;PRÓXIMO UFRPE;SÍTIO DOS PINTOS;;CIDADE;COLISÃO COM CICLISTA;;1;;;1;2;;;;;5;;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2020-06-21;20:14:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV JOAO DE BARROS;;;PRÓXIMO AO POSTO BR- ENCONTRA-SE QUITANDARIA;SANTO AMARO;;SUBURBIO;COLISÃO;COLISÃO ENTRTE DOIS VEÍCULO;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;N/I;Única;Faixa seccionada;;
