DATA;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;num_semaforo;sentido_via;tipo;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2019-09-06;19:53:00;SEM VÍTIMA;CANCELADA;IPSEP;AV RECIFE;2856;;E/F A SERGIO MULTIMARCAS, SNT CID-UNIV / NO LADO DIREITO;AV RECIFE;2856;E/F A SERGIO MULTIMARCAS, SNT CID-UNIV / NO LADO DIREITO;IPSEP;;;COLISÃO;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;;;;;;;;;;;;;;
2019-09-06;20:20:00;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV PINHEIROS;322;RUA GRASIELA;E/F AO BAR WHISKRITÓRIO / PRÓX AO PR COMERCIAL MÉDICA LTDA;AV PINHEIROS;322;E/F AO BAR WHISKRITÓRIO / PRÓX AO PR COMERCIAL MÉDICA LTDA;IMBIRIBEIRA;;SUBURBIO;ABALROAMENTO TRANSVERSAL;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;;Cruzamento;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;
2019-09-06;20:58:00;SEM VÍTIMA;FINALIZADA;ILHA DO LEITE;RUA GENERAL JOAQUIM INACIO;830;;EM FRENTE A FARMACIA INDEPENDENTE;RUA GENERAL JOAQUIM INACIO;830;EM FRENTE A FARMACIA INDEPENDENTE;ILHA DO LEITE;;CIDADE;ABALROAMENTO LONGITUDINAL;CLASSIC X RENAULT;2;;;;;;;;;0;;Longo da via;Bom;Não existe;Ilegível;Seca;Mal iluminada;Não existe;Não há placas;;Única;Não existe;;
2019-09-06;21:12:00;SEM VÍTIMA;CANCELADA;ÁGUA FRIA;AV BEBERIBE;;RUA CORONEL URBANO RIBEIRO DE SENA;SEMÁFORO 307;AV BEBERIBE;;SEMÁFORO 307;ÁGUA FRIA;;;CHOQUE OBJETO FIXO;CONDUTOR ( APARENTEMENTE EMBRIGADO, SEGUNDO AS INFOS DO USUÁRIO) ACABOU PERDENDO O CONTROLE DO VEÍCULO E SE CHOCOU CONTRA O POSTE. O MESMO NÃO SABE DIZER SE O SAMU FOI CHAMADO;1;;;;;;;;;0;;;;;;;;;;;;;;
2019-09-11;08:00:00;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA DO ESPINHEIRO;;RUA SANTO ELIAS;E/F AO POSTO IPIRANGA / PRÓX A SILUETS GRAÇAS;RUA DO ESPINHEIRO;;E/F AO POSTO IPIRANGA / PRÓX A SILUETS GRAÇAS;ESPINHEIRO;;CIDADE;ABALROAMENTO LONGITUDINAL;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa seccionada;;
2019-09-06;23:17:00;COM VÍTIMA;FINALIZADA;CAMPO GRANDE;RUA ODORICO MENDES;251;;E/F AO CLUBE DAS PÁS;RUA ODORICO MENDES;251;E/F AO CLUBE DAS PÁS;CAMPO GRANDE;;CIDADE;COLISÃO FRONTAL;ENTRE AUTO E MOTO. C/V;2;1;;;;;;;;2;;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa seccionada;;
2019-09-07;04:55:00;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;ASSOCIAÇÃO DOS FORNECEDORES DE CANA;AV MARECHAL MASCARENHAS DE MORAES;;ASSOCIAÇÃO DOS FORNECEDORES DE CANA;IMBIRIBEIRA;;SUBURBIO;CHOQUE OBJETO FIXO;VEICULO CHOUCOU-SE COM UM A POSTEDE ILUMINAÇÃO;1;;;;;;;;;0;;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;;R-6a;50 km/h;Dupla;Canteiro central;;
2019-09-07;06:12:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;;DELICATESSEN NEW PLANET;AV CONSELHEIRO AGUIAR;;DELICATESSEN NEW PLANET;BOA VIAGEM;;CIDADE;ABALROAMENTO LONGITUDINAL;SEM VITIMAS;1;;;;;1;;;;0;;Longo da via;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Não existe;Outras;;Única;Faixa seccionada;;
2019-09-07;07:48:00;SEM VÍTIMA;CANCELADA;CAJUEIRO;AV BEBERIBE;16;;EM FRENTE A GALERIA DE CAJUEIRO;AV BEBERIBE;16;EM FRENTE A GALERIA DE CAJUEIRO;CAJUEIRO;;;COLISÃO;AUTO E ONIBUS;1;;;;;1;;;;0;;;;;;;;;;;;;;
2019-09-07;08:06:00;COM VÍTIMA;FINALIZADA;ILHA JOANA BEZERRA;AV CENTRAL;;;DENTRO DO TERMINAL DOS ONIBUS DA ESTAÇÃO JOANA BEZERRA;AV CENTRAL;;DENTRO DO TERMINAL DOS ONIBUS DA ESTAÇÃO JOANA BEZERRA;ILHA JOANA BEZERRA;;;ATROPELAMENTO;COM UMA VITIMA,AGUARDANDO SOCORRO;;;;;1;1;;;;1;;Outros;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;20 km/h;Única;Faixa seccionada;;
